CODICEIDENTIFICATIVOSITO;LATITUDINE
2680;38,08415308
2681;45,44115533
2682;39,7734926
2683;40,3202318
2683;40,3202318
2684;40,578064
2685;40,50532619
2686;36,94899573
2687;40,95836432
2688;45,25595
2689;45,2857344
2692;39,30624485
2693;39,30624485
2694;37,50689
2696;39,68586127
2697;44,1835643
2698;45,75992435
2699;37,0862127
2700;38,9389095
2701;45,52837595
2702;41,03587328
2703;44,72504913
2704;41,9521642
2704;41,9521642
2705;42,27016775
2706;43,84969003
2707;45,17975827
2708;44,0642123
2710;38,21586329
2711;44,6576564
2712;39,427095
2713;42,10277493
2714;45,5661671
2715;45,000485
2716;40,93313254
2717;41,9575175
2718;41,04079675
2719;45,7754787
2720;44,35776828
2720;44,35776828
2721;44,11172589
2721;44,11172589
2722;39,81287613
2723;43,73492
2723;43,73492
2724;45,352133
2724;45,352133
2725;39,3486927
2726;37,711952
2727;41,3397702
2727;41,3397702
2727;41,3397702
2730;40,6771188
2730;40,6771188
2730;40,6771188
2732;43,953362
2733;38,15567817
2734;41,07614497
2735;38,35836744
2736;37,734848
2737;45,65311235
2738;45,4995294
2739;40,7877033
2739;40,7877033
2740;45,0773476
2741;43,80710659
2743;45,4666212
2744;36,727443
2745;45,69653
2746;37,517746
2747;40,8290858
2748;45,6669011
2749;42,84734456
2749;42,84734456
2750;44,33059064
2751;37,37175426
2752;45,496531
2752;45,496531
2753;44,0033292
2754;43,0272458
2754;43,0272458
2755;38,0725545
2756;45,43980574
2757;45,48834365
2758;45,5546141
2759;40,0711398
2760;39,8983561
2761;44,57001
2761;44,57001
2762;45,66911583
2763;45,57784793
2764;40,65215514
2765;45,8159663
2766;43,133668
2767;45,3154135
2768;45,5177339
2769;40,66356098
2770;40,29709992
2771;45,9573899
2772;45,0838734
2773;45,0838734
2774;45,6355065
2774;45,6355065
2775;39,1978799
2776;44,46514142
2777;41,866629
2778;41,047352
2779;42,8108565
2779;42,8108565
2779;42,8108565
2781;43,9335839
2782;40,60104592
2783;41,4675671
2784;40,128773
2785;43,86640162
2786;44,69374832
2787;45,79556691
2788;37,0714069
2789;44,50638046
2790;45,0149724
2791;45,5528191
2792;41,8685494
2793;40,8895511
2794;44,30186848
2795;38,211869
2796;43,4320959
2797;45,7187897
2799;37,95745639
2800;40,81971655
2801;44,4580696
2801;44,4580696
2802;37,37175426
2803;39,3324677
2804;39,033245
2805;37,51576832
2806;39,15507915
2807;39,3011273
2808;46,1044634
2809;38,1382076
2810;44,40726
2811;39,2982629
2812;45,3220269
2813;42,8536043
2813;42,8536043
2814;45,10771553
2815;45,55592277
2816;45,2417684
2819;45,10747178
2820;40,695624
2821;40,695624
2822;39,9580778
2823;45,50639709
2823;45,50639709
2824;45,058849
2825;39,9271133
2826;39,9271133
2827;40,6790412
2828;40,5394998
2829;45,54708933
2830;45,50639709
2831;40,46442001
2832;40,7259269
2833;45,62256531
2834;41,88756067
2835;45,46910808
2836;41,89945368
2837;45,515092
2838;44,3195499
2840;39,3133463
2841;45,7171892
2841;45,7171892
2842;45,5175255
2842;45,5175255
2843;39,3323885
2844;36,9272002
2845;45,45358648
2846;38,0202591
2847;38,0188317
2848;44,98792431
2849;45,6107705
2850;45,065851
2851;45,7387941
2851;45,7387941
2852;44,40726
2853;45,0053193
2854;42,9609785
2855;42,737675
2856;39,49535602
2857;39,11444326
2858;41,83945281
2859;41,981833
2860;37,2912524
2861;41,84314226
2862;40,45400281
2863;40,45400281
2864;44,22852591
2865;43,815415
2866;44,60617018
2867;36,67286268
2868;40,8176909
2869;40,817302
2870;40,8212789
2871;45,1981608
2872;40,56182442
2873;43,0626218
2874;39,1334857
2875;41,0521691
2876;45,7764898
2877;38,86712628
2878;41,1152134
2879;43,176567
2880;38,6724261
2881;37,63441983
2882;39,48039
2882;39,48039
2882;39,48039
2883;40,9491285
2885;42,7355769
2886;39,677333
2887;41,98621328
2888;45,51845964
2889;40,772483
2890;40,9599802
2891;41,05746784
2892;40,1794405
2893;37,37731576
2894;39,58332693
2895;42,7629815
2895;42,7629815
2896;37,61378635
2897;36,9099209
2898;45,15731815
2899;41,2301072
2900;41,8118738
2900;41,8118738
2901;40,9443036
2906;44,7757772
2907;41,0621627
2908;44,773975
2909;40,57078154
2910;38,22264431
2911;45,70699058
2912;45,4382222
2913;45,4344122
2915;40,6327065
2919;37,5208281
2920;41,20778824
2921;42,2248242
2922;43,9397398
2923;41,46634711
2923;41,46634711
2924;39,1946664
2925;40,6327065
2926;45,0467651
2927;40,05156289
2928;43,77041
2929;41,90053685
2930;39,15507915
2931;44,22852591
2932;40,810801
2932;40,810801
2934;40,64541297
2934;40,64541297
2934;40,64541297
2935;37,95364201
2936;45,0739412
2937;40,35418615
2939;36,96394265
2940;41,9015141
2941;44,05317422
2942;45,16063128
2943;41,84241261
2944;41,05278511
2944;41,05278511
2944;41,05278511
2945;45,10747178
2946;39,5285918
2947;40,555803
2948;45,011071
2954;44,8933572
2955;43,8009016
2956;46,56574402
2957;45,597163
2958;43,65542371
2959;46,06468464
